	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Bcl6	67.45802972	1.248358496	0.40540032	3.079322914	0.002074717	0.098106062
Clptm1l	96.83099152	-0.843584055	0.274228605	-3.076207365	0.00209652	0.098106062
Gtf2i	127.1693867	-0.661661703	0.21473351	-3.081315552	0.002060881	0.098106062
Oxct1	314.9056398	0.554976917	0.180416833	3.076081684	0.002097404	0.098106062
Mif	163.7556658	0.674074136	0.223344679	3.018089083	0.002543741	0.116081457
Bri3bp	150.3363013	0.657146408	0.219682742	2.991342896	0.002777534	0.118108327
Tomm20	411.3793446	0.422473732	0.141029182	2.99564761	0.002738627	0.118108327
Tssc1	56.33231206	-0.837440308	0.279336759	-2.997959561	0.002717937	0.118108327
Lgmn	110.0679801	-0.714052983	0.240453178	-2.969613418	0.002981747	0.121279326
Zfp207	534.4815939	0.473093487	0.158961562	2.976150216	0.002918918	0.121279326
Cables2	69.9886021	-0.772604388	0.261247145	-2.957369687	0.003102759	0.123516202
Cd47	115.6937956	0.649236451	0.222176863	2.922160489	0.003476124	0.125680534
Ctss	422.0455338	-0.433059987	0.147391854	-2.938154143	0.003301728	0.125680534
Gnb2	508.5552904	-0.411605207	0.140929195	-2.920652512	0.003492992	0.125680534
Gstt1	73.90541171	0.947725583	0.323995415	2.925120352	0.00344323	0.125680534
St13	60.79493703	-0.902191228	0.307870454	-2.930424848	0.003384989	0.125680534
Stk25	73.22461922	-0.731078831	0.253060459	-2.888949283	0.003865314	0.136452881
Mtf2	135.8648504	0.68674884	0.239144521	2.871689623	0.004082838	0.138890708
Suclg1	177.7913397	0.53772875	0.187223052	2.872128971	0.004077165	0.138890708
Klhdc4	58.50343133	-0.878597842	0.307064942	-2.861276958	0.004219383	0.140972592
Arhgap25	77.1271624	-0.680173208	0.238419989	-2.852836332	0.004333093	0.142231884
Ly6a	164.9171405	0.62007497	0.219013159	2.831222444	0.004637046	0.149584707
Srgn	739.2561853	-0.370836029	0.13219512	-2.805217238	0.005028268	0.159455746
Mat2a	84.25133511	0.71372866	0.256446002	2.783153783	0.005383328	0.162854523
Traf5	66.75871681	-0.717586841	0.257717688	-2.784391122	0.005362832	0.162854523
Zfp740	69.83836425	-0.774977228	0.278532664	-2.782356714	0.005396569	0.162854523
Sfxn1	134.6428574	0.641055182	0.23114872	2.773345149	0.005548324	0.164776414
Sec61b	79.57773411	0.654224934	0.236801947	2.762751499	0.005731639	0.164983012
Strn4	89.91661688	-0.772626273	0.279512695	-2.764190275	0.005706425	0.164983012
Mcm2	690.3747798	0.360183146	0.130608668	2.757727743	0.005820465	0.165001372
Mrpl20	71.61531068	0.648130584	0.235578307	2.751232024	0.005937157	0.165797336
BC017643	473.5566917	-0.426994091	0.155530413	-2.74540575	0.006043612	0.166288219
Apoe	248.3581398	-0.608448651	0.223603544	-2.721104685	0.006506415	0.169724268
Dhx15	68.38370067	0.821562647	0.301524666	2.724694657	0.006436098	0.169724268
Itpa	108.4546577	0.631769273	0.231972883	2.723461743	0.00646017	0.169724268
Ubtf	212.1952445	-0.614108631	0.22578849	-2.719840287	0.006531345	0.169724268
Brd2	132.3842392	0.684870403	0.253200459	2.704854511	0.006833431	0.172696407
Siglecg	189.6758644	-0.486320639	0.180022604	-2.70144209	0.00690395	0.172696407
Stip1	124.1561784	-0.654155156	0.242230911	-2.700543683	0.006922625	0.172696407
4933407C03Rik	90.07079357	0.885858806	0.330715525	2.6786127	0.007392785	0.177456469
Aicda	354.6811905	-0.505471982	0.189323315	-2.669887653	0.007587663	0.177456469
Egln2	148.9919982	-0.499027136	0.18684467	-2.670812798	0.007566783	0.177456469
Ndufv2	73.24166676	0.659286715	0.245581023	2.684599596	0.007261674	0.177456469
Sema4d	231.4319669	-0.504296931	0.188702337	-2.672446672	0.007530034	0.177456469
Rcsd1	64.77803727	-0.754530336	0.283252476	-2.663808443	0.007726154	0.17846463
Hars	81.41431654	-0.676278126	0.254424828	-2.658066553	0.007859037	0.179320226
Lcp1	847.6215172	-0.430966429	0.163154672	-2.641459311	0.008254972	0.186084976
2610002J02Rik	75.30070925	-0.628806574	0.242292961	-2.595232532	0.009452694	0.191709516
B9d2	81.06015631	-0.726828778	0.279548702	-2.600007697	0.009322167	0.191709516
Gdi2	904.5766614	0.384961586	0.148085078	2.59959741	0.009333319	0.191709516
Hint1	136.0146988	0.628671095	0.242499469	2.592463804	0.009529121	0.191709516
Myl6	194.1370543	-0.559331879	0.214116078	-2.612283416	0.008993966	0.191709516
Ndufa10	277.4903513	0.55953903	0.213875404	2.616191579	0.008891665	0.191709516
Neil1	313.2321287	-0.478865695	0.182967095	-2.617223026	0.00886484	0.191709516
Polr2a	238.8722202	-0.402677773	0.15492867	-2.599117212	0.009346385	0.191709516
Sash3	150.2160461	-0.51112581	0.196828849	-2.596803319	0.009409579	0.191709516
Ypel3	91.85927882	-0.651586108	0.250918392	-2.596804893	0.009409536	0.191709516
Abr	85.68237896	-0.646109979	0.250289306	-2.581452595	0.00983855	0.191749245
Cpsf6	176.3872256	0.595178742	0.23002848	2.587413266	0.009669954	0.191749245
LOC100502698	312.8262346	-0.453447628	0.175439359	-2.584640239	0.009748065	0.191749245
S1pr2	574.1164934	-0.374971965	0.145862704	-2.570718587	0.010148776	0.195756283
Ccnb1	90.33579243	0.620283584	0.241730527	2.566012619	0.010287509	0.196223116
Ctsa	128.1604884	-0.57196546	0.223483056	-2.559323606	0.010487606	0.196223116
Faim3	499.5892399	-0.340309357	0.132899314	-2.560655483	0.01044749	0.196223116
Edc4	65.99933157	-0.752873831	0.295101115	-2.551240213	0.010734031	0.198845276
Dapk2	1877.475195	-1.532980554	0.601899268	-2.546905497	0.010868286	0.199358464
Clns1a	94.04274659	0.582919092	0.230731374	2.526397175	0.011523912	0.203407913
Ctsz	694.8640343	-0.433756928	0.171680685	-2.526533074	0.011519454	0.203407913
Phf19	55.82194619	-0.776255275	0.307247675	-2.526480554	0.011521177	0.203407913
Ssr4	70.53676483	0.614414369	0.24301177	2.528331729	0.011460601	0.203407913
Gm9786	939.6066481	0.382210635	0.152015944	2.514279911	0.011927572	0.208565308
Ltb	443.0144152	-0.380440178	0.151828844	-2.505717406	0.012220325	0.211623489
Pgam1	491.3112691	0.416720725	0.166515498	2.502594234	0.01232868	0.211623489
Glg1	72.00597875	0.7324321	0.294580988	2.486352239	0.012906015	0.219519587
Card11	65.44642973	-0.721288808	0.29085329	-2.479905966	0.013141704	0.22151466
Calm1	1993.397383	0.310913776	0.125663516	2.474176958	0.013354353	0.223089239
Sfrs2	303.8031514	0.465334586	0.188882104	2.46362454	0.01375401	0.227732331
Arhgap4	104.9611993	-0.678317222	0.276696717	-2.451482725	0.014226902	0.233495902
Lsm2	85.80207382	0.525063564	0.215131544	2.440662838	0.014660335	0.238517274
Dkc1	98.85255022	0.612866071	0.252195064	2.430127149	0.015093527	0.241367424
Prmt5	108.9602029	0.607972152	0.249879786	2.43305856	0.014971879	0.241367424
Oaz1	3859.009314	0.368850452	0.152139283	2.424426124	0.015332603	0.243112707
Baz1a	107.6563368	0.504912859	0.209112556	2.414550655	0.015754632	0.247385436
Rabl5	128.7306875	0.547722615	0.227085016	2.411971621	0.015866516	0.247385436
H2-Eb1	2150.550561	-0.395666989	0.16506041	-2.397104115	0.016525227	0.249130233
Lsp1	307.0135412	-0.508509758	0.212340372	-2.394786033	0.016630067	0.249130233
Slc35b1	66.17787909	0.699980917	0.292331719	2.394474741	0.01664419	0.249130233
Traf7	208.930771	0.519517913	0.216705046	2.397350327	0.016514126	0.249130233
Uba1	296.6248528	-0.422026193	0.176041166	-2.397315374	0.016515702	0.249130233
H2-K1	1404.668545	0.393992812	0.164889396	2.389436923	0.016874221	0.250568792
Sart1	87.93451389	-0.578448885	0.242903754	-2.381391294	0.01724738	0.252108194
Zfand2b	76.70730173	-0.77511799	0.325275997	-2.382954773	0.017174304	0.252108194
Txndc11	121.8732334	-0.48813143	0.205481724	-2.375546694	0.017522975	0.254151058
Hspa8	10366.37708	-0.399133959	0.168438826	-2.369607818	0.017806962	0.256283281
Csk	840.4104996	-0.269650674	0.113964396	-2.366095765	0.017976794	0.256752527
H2-Q9	179.820966	0.465786278	0.19715139	2.362581757	0.018148138	0.257236107
Arpc1a	281.0911423	0.469595509	0.19970441	2.351452878	0.018700258	0.259171725
Cenpa	209.8650117	0.472364318	0.200484535	2.356113494	0.018467274	0.259171725
Prkd2	59.9143993	-0.76854328	0.326462314	-2.354156199	0.018564808	0.259171725
Nucks1	305.6683446	0.3757098	0.159979335	2.348489579	0.018849727	0.259322342
Gabarap	84.24542707	0.646387063	0.277012267	2.333423969	0.019625904	0.266087444
Limd1	182.1939237	0.499810301	0.21403684	2.335160155	0.019535056	0.266087444
Fam49b	200.8815797	0.517440356	0.222090621	2.329861362	0.01981348	0.266223363
Tagln2	201.0380334	0.483352155	0.207639611	2.327841751	0.019920508	0.266223363
Hnrnpc	485.5683273	-0.332652393	0.144897222	-2.295781725	0.021688365	0.287793834
Myo1c	79.25590187	-0.656930377	0.286829591	-2.290315914	0.02200301	0.289912899
Hmgn2	707.8135623	0.319737158	0.140008221	2.283702746	0.022389007	0.290901606
Vdac3	131.0603051	-0.449416371	0.196704383	-2.284729826	0.022328675	0.290901606
Stat1	173.8546079	0.463005537	0.203309156	2.277347198	0.022765501	0.293753459
Atp5b	1879.040521	0.257386671	0.113190725	2.273920152	0.022970788	0.294372219
Thoc6	171.3320742	-0.528436304	0.232905662	-2.268885602	0.023275284	0.296245275
Aurkaip1	111.6525827	0.485322811	0.215573294	2.251312318	0.024365763	0.300553668
Gltscr2	1038.790131	-0.348790735	0.154877128	-2.25204806	0.024319235	0.300553668
Limd2	443.0506923	-0.35291591	0.157149496	-2.245733649	0.024721074	0.300553668
Map4k1	349.1681929	-0.312313931	0.138342326	-2.257544306	0.023974084	0.300553668
Mapkapk2	82.65781627	-0.59510735	0.263244215	-2.260666398	0.023779923	0.300553668
Mll5	64.15230659	0.676498754	0.301273247	2.245465736	0.024738249	0.300553668
Sltm	103.5149655	0.549348853	0.244107893	2.250434615	0.02442137	0.300553668
Fam53a	65.81534741	-0.634996869	0.283372334	-2.240856969	0.025035341	0.301139876
Rpl23a	1552.791054	-0.427016381	0.190655222	-2.239730838	0.025108402	0.301139876
Mff	71.75613659	0.537264529	0.240493113	2.234012116	0.025482276	0.303677313
Slc25a4	554.8033232	0.330964278	0.148484997	2.22894087	0.025817839	0.305728971
Slc25a3	2254.432899	0.355495499	0.159896354	2.223287091	0.026196447	0.306334707
Wdr26	83.50063625	0.587885563	0.264173978	2.225372713	0.026056228	0.306334707
2210016F16Rik	93.14708655	-0.483341366	0.218442274	-2.212673201	0.026920184	0.310342477
Atad3a	59.47533106	0.700005873	0.317982003	2.201400916	0.027707654	0.310342477
Atxn10	177.7692203	0.451801752	0.20716605	2.180867728	0.029193201	0.310342477
Cct3	429.1757534	-0.357824302	0.163883818	-2.18340228	0.029006198	0.310342477
Cfl1	1213.485527	-0.253634231	0.116405271	-2.178889573	0.029339873	0.310342477
Coro1b	390.6538002	-0.350294254	0.160546288	-2.181889463	0.029117692	0.310342477
Def6	107.5983799	-0.611661023	0.279267091	-2.190236667	0.028507077	0.310342477
Fbxo22	58.67510652	0.753027539	0.342321387	2.199767727	0.027823379	0.310342477
G3bp2	103.3007002	0.474512968	0.216263488	2.194142769	0.028225147	0.310342477
H2afy	280.1647314	0.382021544	0.17416019	2.193506708	0.028270892	0.310342477
Prdx4	68.07412913	0.667780557	0.303255411	2.202040041	0.02766248	0.310342477
Rnaseh2b	70.50350737	0.556070727	0.251647632	2.209719689	0.027124622	0.310342477
Rpl36	241.1593375	0.398917617	0.181453099	2.198461303	0.027916249	0.310342477
Serinc3	55.78624869	0.640091942	0.289320789	2.212395264	0.026939366	0.310342477
Slbp	425.3120222	0.422120177	0.193692132	2.17933569	0.02930674	0.310342477
Slc15a4	85.91080705	-0.535609529	0.244118237	-2.194057826	0.028231253	0.310342477
Slc39a7	76.55692441	-0.645986102	0.296509867	-2.178632736	0.029358962	0.310342477
Cd24a	1248.277194	0.378591404	0.174252358	2.17266158	0.029805797	0.31329577
Atp6v1f	73.54972457	-0.599362437	0.276458527	-2.168001269	0.03015859	0.313523103
Vps35	65.35144193	0.588558665	0.271481781	2.167949031	0.030162565	0.313523103
Mepce	90.29856478	-0.565396471	0.261296812	-2.163809293	0.030478989	0.315061811
Dazap2	367.3137761	0.42920684	0.19873284	2.159717736	0.030794527	0.316574509
Il4ra	63.19382822	-0.695744165	0.322867088	-2.154893429	0.031170175	0.317865616
Txndc16	69.96916587	-0.627822155	0.291502074	-2.153748502	0.0312599	0.317865616
1110004F10Rik	73.88468887	0.646475054	0.300788315	2.149269174	0.031613069	0.319719196
Ggnbp2	82.05971436	0.696805159	0.324787607	2.145417939	0.031919446	0.32108217
2810417H13Rik	101.1775691	0.45508689	0.212976804	2.136790868	0.032615005	0.321150559
Arpc5	284.2606994	0.42015423	0.196993321	2.132834901	0.032938272	0.321150559
Lpp	71.31170032	-0.534499396	0.250636645	-2.132566837	0.032960276	0.321150559
Ms4a1	1565.661439	0.241247012	0.11323326	2.130531354	0.03312777	0.321150559
Ppm1g	417.7635843	0.390535628	0.183136381	2.132485235	0.032966977	0.321150559
Ripk3	118.5761126	0.569430629	0.265728297	2.1429055	0.032120687	0.321150559
Stoml2	132.4119085	0.487545194	0.228514518	2.133541439	0.032880336	0.321150559
Iah1	77.81763772	0.497589746	0.234609841	2.120924446	0.033928161	0.326069783
Pik3cd	87.16265641	-0.558751071	0.263528962	-2.120264376	0.033983756	0.326069783
Msh6	61.87148434	-0.626448126	0.296389779	-2.113595573	0.034549824	0.329809802
Sipa1	232.5534388	-0.358015797	0.169655527	-2.110251301	0.034836716	0.330860382
Ssbp3	91.81877142	-0.498632977	0.236855548	-2.105219749	0.035272184	0.331184852
Taf11	60.83498933	0.584990426	0.278072811	2.10373112	0.035401908	0.331184852
Ube2d3	405.9934224	0.364183349	0.172999446	2.105112806	0.03528149	0.331184852
Rad51	71.28946711	0.609131878	0.289891956	2.101237602	0.035620114	0.331568326
Ergic3	63.45226218	-0.594063419	0.283482927	-2.095587997	0.036118755	0.332897489
Rpn2	134.8481479	-0.430418302	0.205209893	-2.097453955	0.035953409	0.332897489
H2-D1	466.6874245	0.372585672	0.178016404	2.092985045	0.03635049	0.333346947
LOC100316870	124.1748566	0.396012148	0.189384623	2.091047007	0.03652385	0.333346947
Lipc	202.9952354	-0.394572301	0.188964385	-2.088077605	0.036790835	0.33415365
Psd4	84.71088274	-0.53395299	0.256166936	-2.084394646	0.037124284	0.335553315
Arhgdia	1020.278021	-0.326751219	0.1572371	-2.078079667	0.037702022	0.335907064
Gsn	134.6717296	-0.44524021	0.21407517	-2.07983116	0.037541022	0.335907064
Pum2	253.0958965	0.385462324	0.185471118	2.078287593	0.037682878	0.335907064
Mtch2	132.6113596	0.422066896	0.203352597	2.0755422	0.037936312	0.336392606
Chchd10	193.139965	0.381590942	0.184044738	2.073359695	0.038138817	0.33659305
Ppp2r1a	283.0935678	-0.348582644	0.168604628	-2.067455963	0.03869121	0.339865039
Akt1	352.8050757	-0.308153796	0.14927134	-2.064386884	0.038981049	0.340810948
Unc93b1	157.1876133	-0.41750175	0.202629685	-2.060417509	0.039358645	0.342511739
Unc119b	58.1262665	-0.575554925	0.279674051	-2.057948974	0.039595032	0.342973632
Adsl	88.44495781	0.544734644	0.265484685	2.051849601	0.040184281	0.343674247
Hdlbp	144.8822957	0.423186024	0.20629025	2.051410683	0.04022697	0.343674247
Mprip	401.697403	-0.298871923	0.145534604	-2.053614147	0.040013052	0.343674247
Immt	73.2972271	0.573459474	0.280522315	2.044256176	0.040928246	0.346501125
Rplp1	3595.345399	0.260052043	0.127182442	2.044716545	0.040882811	0.346501125
Idh3b	281.7613041	-0.369537039	0.181036224	-2.041232578	0.041227715	0.34746421
Eif2b5	60.58181575	-0.601051568	0.294841302	-2.038559603	0.041494	0.348140246
Akirin1	60.11221279	0.544574994	0.268733764	2.026447985	0.042718898	0.353659548
Aprt	102.4989545	0.409561063	0.202107142	2.026455175	0.042718162	0.353659548
Smu1	57.24077383	-0.539069332	0.265956918	-2.026904719	0.042672158	0.353659548
Arfgap2	138.3046854	0.448296215	0.222032482	2.019056903	0.043481306	0.355720368
Cobra1	114.2115038	-0.615258162	0.305083807	-2.016685741	0.043728319	0.355720368
Fmnl1	62.86664247	-0.5286545	0.261483332	-2.021752193	0.043201959	0.355720368
Nadk	55.77423681	-0.670135295	0.332133494	-2.01766852	0.043625796	0.355720368
6-Sep	299.7667301	-0.3552811	0.176480236	-2.013149502	0.044098904	0.357182031
Ostf1	109.1834637	-0.419174379	0.208594239	-2.009520409	0.044481973	0.35873177
Gcn1l1	58.42554344	-0.600411756	0.299618418	-2.003921386	0.045078482	0.359244978
Gga2	204.9674954	-0.337598476	0.168294332	-2.00600027	0.044856219	0.359244978
Rrm2	101.5605955	0.427853539	0.213551046	2.003518816	0.04512163	0.359244978
LOC100504272	16055.48487	0.357843051	0.178975653	1.999395141	0.045565617	0.361242669
Ddx54	311.9439676	-0.323810787	0.16222186	-1.996098346	0.045923219	0.362541531
Ada	250.5331211	0.4026515	0.202247828	1.9908817	0.046493895	0.363975216
Srp72	81.4736469	0.573626382	0.288112367	1.990981461	0.046482925	0.363975216
Bin1	80.36212405	-0.533597642	0.268305835	-1.988766448	0.046726988	0.364275809
Puf60	221.082697	-0.423967676	0.21377116	-1.983278175	0.047336366	0.367495189
Ndufv1	223.2564903	0.462115516	0.234132786	1.973732612	0.048412155	0.374293974
Atp5f1	953.7091897	0.29996514	0.152474682	1.96731113	0.049147353	0.37841439
Csnk1a1	63.52099054	0.588160164	0.300486357	1.957360627	0.050305084	0.38073006
Fam134a	70.25793599	-0.517415618	0.264527873	-1.95599659	0.050465556	0.38073006
Gtf2a2	82.63066097	0.480328907	0.24548066	1.956687367	0.050384236	0.38073006
Prr8	78.58721813	-0.528008029	0.269410549	-1.95986397	0.050011692	0.38073006
Tes	61.57962956	-0.611531917	0.311975391	-1.960192808	0.049973259	0.38073006
2700060E02Rik	253.3182697	0.338653812	0.17400692	1.946208876	0.051629654	0.383617995
Atp5c1	601.9309886	0.276161315	0.141920633	1.945885587	0.051668485	0.383617995
Fau	1157.132856	-0.360460383	0.185208031	-1.946245968	0.051625201	0.383617995
Rpl21	1788.384218	-0.38927142	0.199846755	-1.947849595	0.051432963	0.383617995
Bub3	661.8430946	0.289138446	0.149464758	1.934492459	0.053052608	0.387739962
Ftl1	617.3997431	0.315255951	0.162687001	1.937806635	0.052646818	0.387739962
Mapre1	113.0708113	0.394886403	0.203757211	1.938024189	0.052620271	0.387739962
Psmd7	170.2365657	0.341510068	0.176534427	1.934523896	0.053048747	0.387739962
Cd37	2222.793804	-0.238790076	0.124461927	-1.918579286	0.055037599	0.394344337
Cdkn2aipnl	134.4053716	-0.414585546	0.215670857	-1.922306762	0.05456717	0.394344337
G6pdx	66.58297606	0.526737799	0.274752665	1.917134449	0.055220853	0.394344337
Lyl1	84.12784372	-0.46967856	0.24488561	-1.917950834	0.055117246	0.394344337
Sgpl1	57.13099242	-0.574369618	0.299521119	-1.917626447	0.055158394	0.394344337
Vac14	126.6298867	0.475632487	0.247446194	1.922165299	0.054584962	0.394344337
Atp13a1	155.670931	-0.497214029	0.25968247	-1.914700011	0.055530772	0.395049714
Ncoa3	101.001808	-0.488458446	0.256155489	-1.906882607	0.056535791	0.400676004
Eif3c	569.978189	0.275072106	0.145290211	1.893259739	0.058323337	0.402507371
Mif4gd	781.3368828	-0.328436196	0.173192286	-1.896367351	0.057911486	0.402507371
Mrpl18	173.2024844	0.407402434	0.215349698	1.891817993	0.058515235	0.402507371
Nhp2	109.6118	0.446103751	0.235752479	1.892254762	0.058457045	0.402507371
Pnp1	373.2604114	-0.340957775	0.179392141	-1.900628268	0.05735072	0.402507371
Pold4	626.8294156	-0.267636295	0.141104785	-1.8967202	0.057864876	0.402507371
Stard7	144.8608917	0.401446848	0.211993756	1.893672984	0.058268429	0.402507371
Ybx1	333.6897198	0.45848519	0.242039905	1.89425454	0.058191232	0.402507371
Id3	116.3267731	-0.60002599	0.317802183	-1.888048673	0.059019416	0.404488381
Mical1	108.3580863	-0.453132319	0.241520778	-1.876162882	0.060632917	0.412878983
Trmt112	125.4920972	-0.449865399	0.239828025	-1.875783274	0.060685046	0.412878983
Rps6ka1	85.28156045	-0.499489792	0.266806378	-1.872105888	0.061191956	0.41481938
Copb2	71.21779461	-0.450188628	0.240769151	-1.869793639	0.06151248	0.415486824
Rps3	4006.095318	-0.303542041	0.162657195	-1.866145794	0.06202097	0.417414517
Plcg2	579.8286636	-0.271810567	0.145974084	-1.862046745	0.062596502	0.419777973
Aldh9a1	64.65353924	0.575024081	0.310258585	1.85337041	0.063829285	0.421651212
Bckdk	104.4979319	0.477522372	0.257477106	1.854620709	0.063650409	0.421651212
Cdca8	537.0483684	0.294334088	0.159313218	1.847518309	0.064672057	0.421651212
Emp2	62.5237397	-0.710241007	0.382626173	-1.856226932	0.063421219	0.421651212
Ints1	70.75224392	-0.557491726	0.300986681	-1.852213943	0.063995107	0.421651212
Ncf2	90.64205987	-0.456007666	0.246293539	-1.851480425	0.064100468	0.421651212
Rhoh	702.6374273	-0.32430771	0.175461542	-1.848312203	0.064557191	0.421651212
Tacc3	115.5256793	0.410464132	0.222176075	1.847472247	0.064678727	0.421651212
Akap8	68.50108206	0.511710662	0.277435667	1.844429977	0.065120502	0.42237356
Ctnnb1	210.9058782	0.314377356	0.170706406	1.841626004	0.065529875	0.42237356
Ndufs2	346.6599781	-0.28465747	0.154661776	-1.840515979	0.065692521	0.42237356
Nfatc1	67.63878415	-0.492802389	0.267348717	-1.843294387	0.06528604	0.42237356
Psmb8	2292.806403	0.269530085	0.147399669	1.828566427	0.067464586	0.432281645
Prpf38b	132.3792964	-0.390059816	0.213665506	-1.825562876	0.067916132	0.433689704
Grn	74.30429696	0.61089402	0.33577183	1.819372459	0.068854625	0.438187089
Syngr2	632.4013683	0.331790186	0.182594663	1.817085887	0.069203963	0.438917341
Mid1ip1	78.78296316	-0.509104553	0.280941037	-1.812140221	0.069964533	0.442242031
Slc9a3r1	89.36001313	-0.460182912	0.255172339	-1.803420045	0.071322272	0.449306299
Atp5g3	560.4623737	0.308321211	0.171672462	1.795985252	0.072496863	0.452581087
Ppp1ca	2367.022661	0.22515792	0.125299065	1.796964091	0.072341321	0.452581087
Rpl9	1348.460147	-0.31716722	0.176641739	-1.7955395	0.072567785	0.452581087
Zdhhc6	62.92889374	0.513424621	0.286366907	1.792890897	0.072990371	0.453704267
Mta3	78.92611348	-0.453074819	0.253147174	-1.789768427	0.073491147	0.454006278
Pfdn5	77.91142819	-0.508817774	0.284325227	-1.789562533	0.073524266	0.454006278
Gm16517	68.86443416	-0.462007829	0.258931357	-1.784286905	0.074377057	0.455121856
Hnrnpa2b1	221.9058066	-0.33922056	0.189997726	-1.785392735	0.074197636	0.455121856
Trp53i11	198.7370229	-0.400635746	0.22458014	-1.783932212	0.074434681	0.455121856
6720456B07Rik	371.8928017	-0.29480192	0.167985222	-1.754927702	0.079271675	0.457059892
Anxa2	354.8430606	-0.368836317	0.209893951	-1.757250822	0.078875066	0.457059892
Atp5j	65.28041291	0.450027294	0.254299535	1.769674072	0.076781452	0.457059892
Bid	243.9096678	-0.29112466	0.165434121	-1.75976188	0.078448189	0.457059892
Cand1	75.83885298	0.483617989	0.274691344	1.760586927	0.078308343	0.457059892
Ccar1	82.75497836	0.517409982	0.294951857	1.754218429	0.079393087	0.457059892
Cnp	177.4165346	-0.347276386	0.196063091	-1.771248142	0.076519447	0.457059892
Dpp9	88.85816503	-0.517029437	0.29352676	-1.761438842	0.078164156	0.457059892
Eif1	204.4086066	0.320652579	0.180928844	1.772257931	0.076351751	0.457059892
Gramd1a	190.8539782	-0.35928924	0.202275249	-1.776239267	0.075693489	0.457059892
Mtap1s	56.32280615	-0.545001241	0.307765327	-1.770833793	0.076588345	0.457059892
Ncaph	93.82473484	-0.416899197	0.235523013	-1.770099628	0.076710546	0.457059892
Nuf2	78.38674088	0.571111945	0.324233421	1.761422199	0.07816697	0.457059892
Pcbp1	1065.193541	0.247107817	0.139810387	1.767449627	0.077152958	0.457059892
Pex6	56.92374578	-0.722251274	0.406709537	-1.775840516	0.075759208	0.457059892
Ppp2ca	175.0265522	0.369718899	0.21046279	1.756694846	0.078969836	0.457059892
Rps19	2735.111715	-0.295654379	0.167857113	-1.761345546	0.078179936	0.457059892
